_id,hotness,activityHotness,primaryCategory,words,similarArticles,coins,description,publishedAt,title,url,source,thumbnail,sourceDomain,originalImageUrl
5f604bc18d1375001b71f562,74085.14110235694,4.639204208777603,General,450,"[{'_id': '5f5fe83fc24f7f001743333f', 'title': 'After $250 Million Bitcoin Buy, MicroStrategy Eyes More', 'publishedAt': '2020-09-14T20:36:06.000Z', 'sourceDomain': 'decrypt.co', 'url': 'https://cryptocontrol.io/r/api/article/5f5fe83fc24f7f001743333f?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5fe83fc24f7f001743333f-1600120895957.jpg'}, {'_id': '5f5fd712c24f7f00174287cb', 'title': 'Can’t Get Enough? MicroStrategy is Considering Getting More Bitcoin as Reserve', 'publishedAt': '2020-09-14T20:33:45.000Z', 'sourceDomain': 'coinfomania.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5fd712c24f7f00174287cb?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5fd712c24f7f00174287cb-1600116498874.jpg'}, {'_id': '5f5fc143d150c9001a199a48', 'title': 'MicroStrategy Board makes Bitcoin its primary reserve currency, may increase its holdings beyond $250M', 'publishedAt': '2020-09-14T17:07:13.000Z', 'sourceDomain': 'cointelegraph.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5fc143d150c9001a199a48?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5fc143d150c9001a199a48-1600110916161.jpg'}]","[{'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}, {'_id': '5a1aafdbda3d21115462ee98', 'name': 'Macro', 'slug': 'macro1', 'tradingSymbol': 'mcr'}]","Earlier this year, MicroStrategy made the news across the world when it became the first major, U.S. stock exchange-listed company to invest in Bitcoin. The Nasdaq-listed firm, whose shares trade under MSTR, purchased $250 million worth of the leading crypto from its cash reserves. Company chief…",2020-09-15T03:00:41.000Z,Nasdaq-Listed MicroStrategy May Soon Buy More Bitcoin After Forking Out $250m,https://cryptocontrol.io/r/api/article/5f604bc18d1375001b71f562?ref=5f5ffe6559e3200017b06c42,"{'_id': '59d71bd7ef8bf95cc2aaf579', 'name': 'NewsBTC', 'url': 'http://www.newsbtc.com', 'favicon': 'https://assets.cryptocontrol.io/favicons/59d71bd7ef8bf95cc2aaf579.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f604bc18d1375001b71f562-1600146378565.jpg,newsbtc.com,https://www.newsbtc.com/wp-content/uploads/2020/09/jinyun-xBuu23uxarU-unsplash-scaled.jpg
5f5fa5b7d150c9001a1893b9,74081.81387340162,3.146373401623214,General,450,"[{'_id': '5f5d32d8127bd50017d13ae1', 'title': 'Ethereum is About to Make a Big Movement; But Will It Favor Bulls?', 'publishedAt': '2020-09-12T19:00:44.000Z', 'sourceDomain': 'bitcoinist.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5d32d8127bd50017d13ae1?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5d32d8127bd50017d13ae1-1599943384477.jpg'}, {'_id': '5f5c19ba72bcc8001d99ec62', 'title': 'It’s Make or Break for Ethereum Bulls as ETH Nears Critical Resistance', 'publishedAt': '2020-09-11T23:00:23.000Z', 'sourceDomain': 'newsbtc.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5c19ba72bcc8001d99ec62?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5c19ba72bcc8001d99ec62-1599871418303.jpg'}]","[{'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}]","Bitcoin posted a strong weekly close yesterday afternoon, which is what allowed the cryptocurrency to see an overnight upswing that has led it past multiple crucial levels. While speaking about the digital asset’s price action, one analyst observed that its strong weekly close may continue acting as…",2020-09-14T16:00:18.000Z,Here’s What Bitcoin’s Strong Weekly Close Says About Its Present Outlook,https://cryptocontrol.io/r/api/article/5f5fa5b7d150c9001a1893b9?ref=5f5ffe6559e3200017b06c42,"{'_id': '59d71bd7ef8bf95cc2aaf579', 'name': 'NewsBTC', 'url': 'http://www.newsbtc.com', 'favicon': 'https://assets.cryptocontrol.io/favicons/59d71bd7ef8bf95cc2aaf579.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f5fa5b7d150c9001a1893b9-1600103864593.jpg,newsbtc.com,https://www.newsbtc.com/wp-content/uploads/2020/09/andre-francois-mckenzie-vBYVj-yycwQ-unsplash-3-scaled.jpg
5f5f9b119b97cb001a47e844,74081.67299493632,3.1703097511413114,General,1246,"[{'_id': '5f5bebd372bcc8001d98365f', 'title': 'QuarkChain (QKC) Overview: DeFi and New Mainnet', 'publishedAt': '2020-09-11T20:38:18.000Z', 'sourceDomain': '', 'url': 'https://cryptocontrol.io/r/api/article/5f5bebd372bcc8001d98365f?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5bebd372bcc8001d98365f-1599859667818.jpg'}, {'_id': '5f5c9cf213ebc4001aedc196', 'title': 'Framework’s Michael Anderson: ‘Ethereum is where DeFi will continue to be’', 'publishedAt': '2020-09-12T08:45:00.000Z', 'sourceDomain': 'cointelegraph.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5c9cf213ebc4001aedc196?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5c9cf213ebc4001aedc196-1599905010812.jpg'}]","[{'_id': '59d21e9b83a0523906a45ddb', 'name': 'DigiByte', 'slug': 'digibyte', 'tradingSymbol': 'DGB'}, {'_id': '59cb59f9b0836b0a63aebc7c', 'name': 'Ethereum', 'tradingSymbol': 'ETH', 'slug': 'ethereum'}, {'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}, {'_id': '59d8e9a749f28d561056743c', 'name': 'CCMiner', 'slug': 'ccminer', 'tradingSymbol': 'ccm100'}, {'_id': '5e3844aa16c3760019f74f7b', 'name': 'TOP', 'slug': 'top', 'tradingSymbol': 'TOP'}, {'_id': '59d21e9b83a0523906a45f2b', 'name': 'Altcoin', 'slug': 'altcoin-alt', 'tradingSymbol': 'alt'}, {'_id': '5e3844a916c3760019f74c8b', 'name': 'CREDIT', 'slug': 'credit', 'tradingSymbol': 'CREDIT'}, {'_id': '5a1aafdbda3d21115462ee14', 'name': 'Change', 'slug': 'change', 'tradingSymbol': 'CAG'}, {'_id': '5cd36d8270d74700100891ad', 'name': 'NEXT', 'slug': 'next', 'tradingSymbol': 'NET'}]","DigiByte claims to have a proven and tested solution that is faster and safer than blockchains like Bitcoin and Ethereum.
",2020-09-14T15:00:58.000Z,What is DigiByte?,https://cryptocontrol.io/r/api/article/5f5f9b119b97cb001a47e844?ref=5f5ffe6559e3200017b06c42,"{'_id': '5badd2e80c38a70019e35b97', 'name': 'Decrypt Media', 'url': 'https://decryptmedia.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5badd2e80c38a70019e35b97.jpg'}",https://cloudfront.cryptocontrol.io/thumbnails/5f5f9b119b97cb001a47e844-1600101137195.png,decrypt.co,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2020/01/digibyte-gID_7-pID_6.png
5f5f69d2b47a3f00187f7493,74081.20137340162,3.146373401623214,General,379,"[{'_id': '5f5f67626654fc001af3d459', 'title': 'Developer activity on Ethereum records a record 7 months', 'publishedAt': '2020-09-14T12:28:18.000Z', 'sourceDomain': 'ourbitcoinnews.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5f67626654fc001af3d459?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5f67626654fc001af3d459-1600087906961.jpg'}, {'_id': '5f5f1637e2f4c2001c2c5405', 'title': 'Developer Activity on the Ethereum Blockchain Reaches 7-Month...', 'publishedAt': '2020-09-14T06:38:14.000Z', 'sourceDomain': 'tokenhell.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5f1637e2f4c2001c2c5405?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5f1637e2f4c2001c2c5405-1600067127459.jpg'}]","[{'_id': '59cb59f9b0836b0a63aebc7c', 'name': 'Ethereum', 'tradingSymbol': 'ETH', 'slug': 'ethereum'}, {'_id': '5e3844a816c3760019f74b72', 'name': 'Defi', 'slug': 'defi', 'tradingSymbol': 'DEFI'}]","Developer activity recorded a new increased level; the highest level since the beginning of...
",2020-09-14T12:19:48.000Z,Ethereum’s developer activity climbs to seven month high,https://cryptocontrol.io/r/api/article/5f5f69d2b47a3f00187f7493?ref=5f5ffe6559e3200017b06c42,"{'_id': '59d71bc4ef8bf95cc2aaf570', 'name': 'CoinJournal', 'url': 'http://coinjournal.net', 'favicon': 'https://assets.cryptocontrol.io/favicons/59d71bc4ef8bf95cc2aaf570.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f5f69d2b47a3f00187f7493-1600088535274.jpg,coinjournal.net,https://coinjournal.net/wp-content/uploads/2020/09/04-defi.jpg
5f6068558293c9001a027a7a,74081.04966884319,0.10295588022415446,General,419,[],"[{'_id': '59d21e9b83a0523906a45dbe', 'name': 'Tether', 'slug': 'tether', 'tradingSymbol': 'USDT'}, {'_id': '5afcc606ed3b0e000f40cf12', 'name': 'TrueUSD', 'slug': 'trueusd', 'tradingSymbol': 'TUSD'}, {'_id': '5e3844a816c3760019f74b72', 'name': 'Defi', 'slug': 'defi', 'tradingSymbol': 'DEFI'}, {'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}]","Tether is certainly able to control your USDT if needed. The company can freeze, destroy or even reverse USDT transactions and funds as desired. This is according to […]
",2020-09-15T05:40:49.000Z,Tether Can Reverse and Control Your USDT,https://cryptocontrol.io/r/api/article/5f6068558293c9001a027a7a?ref=5f5ffe6559e3200017b06c42,"{'_id': '5a8093eb877b58f460aae35f', 'name': 'Use The Bitcoin', 'url': 'https://usethebitcoin.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5a8093eb877b58f460aae35f.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f6068558293c9001a027a7a-1600153685268.jpg,usethebitcoin.com,https://usethebitcoin.com/wp-content/uploads/2019/06/Tether.jpg
5f5f63946654fc001af3ac5e,74081.02967458332,3.1698134722070983,General,579,"[{'_id': '5f5f5d933e7a41001a1fb8ae', 'title': 'Spikes in Large Bitcoin Transactions Suggest Institutional Accumulation', 'publishedAt': '2020-09-14T12:05:56.000Z', 'sourceDomain': 'beincrypto.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5f5d933e7a41001a1fb8ae?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5f5d933e7a41001a1fb8ae-1600085395182.jpg'}, {'_id': '5f5e4d9ea223fc0017930fbc', 'title': 'COVID-19 shook out retail investors but emboldened BTC whales: Report', 'publishedAt': '2020-09-13T15:54:00.000Z', 'sourceDomain': 'cointelegraph.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5e4d9ea223fc0017930fbc?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5e4d9ea223fc0017930fbc-1600015776071.jpg'}]","[{'_id': '5a7b931102ac032bc99781f1', 'name': 'DATA', 'slug': 'data', 'tradingSymbol': 'DTA'}, {'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}]","Large bitcoin (BTC) buyers used the market crash in March to increase their holdings while the largest ""whales"" became most active this past summer, a new report suggested. After exploring transaction data on the Bitcoin blockchain that happened between January 2020 and the beginning of August, OKEx…",2020-09-14T11:09:33.000Z,Bitcoin Whales Using 2020 to Accumulate BTC - Research,https://cryptocontrol.io/r/api/article/5f5f63946654fc001af3ac5e?ref=5f5ffe6559e3200017b06c42,"{'_id': '5c8fbb44a4410000111f614b', 'name': 'CryptoNews', 'url': 'https://cryptonews.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5c8fbb44a4410000111f614b.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f5f63946654fc001af3ac5e-1600086932876.jpg,cryptonews.com,https://cimg.co/w/articles/0/5f5/f4f8b18074.jpg
5f6066dc8293c9001a027a51,74081.02904568308,0.10487901641694322,General,1299,[],"[{'_id': '59cb59e81c073f09e76f614b', 'name': 'Bitcoin', 'slug': 'bitcoin', 'tradingSymbol': 'BTC'}, {'_id': '59d8e9a749f28d561056731d', 'name': 'Casino', 'slug': 'casino', 'tradingSymbol': 'casino'}, {'_id': '5c05c3873c4bad0016c2504d', 'name': 'Online', 'slug': 'online', 'tradingSymbol': 'oio'}, {'_id': '5b7ca78b0c38a700190ebdff', 'name': 'Own', 'slug': 'own', 'tradingSymbol': 'CHX'}, {'_id': '59d21e9b83a0523906a45db5', 'name': 'Monero', 'slug': 'monero', 'tradingSymbol': 'XMR'}, {'_id': '5e3844a816c3760019f74b72', 'name': 'Defi', 'slug': 'defi', 'tradingSymbol': 'DEFI'}, {'_id': '59d21e9b83a0523906a45daf', 'name': 'Bitcoin Cash', 'slug': 'bitcoin-cash', 'tradingSymbol': 'BCH'}]","15th September 2020, New York, United States: INX will start accepting bitcoin (BTC), ether (ETH), and USDC stablecoin, starting today. INX said over 3,000 retail and accredited investors registered for the INX token offering during its first three days. Now that the minimum requirement INX has set…",2020-09-15T05:32:42.000Z,INX Becomes the First SEC-Registered IPO to Accept Crypto,https://cryptocontrol.io/r/api/article/5f6066dc8293c9001a027a51?ref=5f5ffe6559e3200017b06c42,"{'_id': '59d71c67ef8bf95cc2ab0147', 'name': 'Bitcoin.com', 'url': 'https://news.bitcoin.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/59d71c67ef8bf95cc2ab0147.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f6066dc8293c9001a027a51-1600153308482.jpeg,news.bitcoin.com,https://news.bitcoin.com/wp-content/uploads/2020/09/b5ffe5f8-8c4b-44a4-b84e-059e35acc443.jpeg
5f605fab8293c9001a025004,74081.02411508313,0.11397619423751587,General,496,[],"[{'_id': '59cb5a047ab17a0b2ec00edf', 'name': 'Ripple', 'tradingSymbol': 'xrp', 'slug': 'ripple'}, {'_id': '5de5a582d37160001ab4bdff', 'name': 'XRP', 'slug': 'xrp', 'tradingSymbol': 'XRP'}, {'_id': '5a7b931102ac032bc99781f1', 'name': 'DATA', 'slug': 'data', 'tradingSymbol': 'DTA'}]","Catch up on the latest crypto market news at The Currency Analytics.
PayID is a protocol for human-readable addresses for all payments.  PayID makes it possible for services to make it possible…
",2020-09-15T05:27:39.000Z,Ripple (XRP) on the Open Global Payment Experience and Pay ID Coalition,https://cryptocontrol.io/r/api/article/5f605fab8293c9001a025004?ref=5f5ffe6559e3200017b06c42,"{'_id': '5c509bf423b00e00101f000b', 'name': 'TheCurrencyAnalytics', 'url': 'https://thecurrencyanalytics.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5c509bf423b00e00101f000b.jpg'}",https://cloudfront.cryptocontrol.io/thumbnails/5f605fab8293c9001a025004-1600151467375.jpg,thecurrencyanalytics.com,https://cdn.thecurrencyanalytics.com/wp-content/uploads/2020/09/RippleXRPPAyIDCoalition-300x300.jpg
5f605dc58293c9001a02364c,74080.98939768919,0.1122217632724249,General,521,[],"[{'_id': '59d21e9b83a0523906a45dbe', 'name': 'Tether', 'slug': 'tether', 'tradingSymbol': 'USDT'}, {'_id': '5e3844a816c3760019f74c35', 'name': 'Ultra', 'slug': 'ultra', 'tradingSymbol': 'UOS'}, {'_id': '5e3844a816c3760019f74b72', 'name': 'Defi', 'slug': 'defi', 'tradingSymbol': 'DEFI'}, {'_id': '59d21e9b83a0523906a45df4', 'name': 'TRON', 'slug': 'tron', 'tradingSymbol': 'TRX'}, {'_id': '5d55f20226ceed001a7d5cdd', 'name': 'Algorand', 'slug': 'algorand', 'tradingSymbol': 'ALGO'}]","The Solana Foundation has announced a technical partnership with Tether. The agreement makes the USDt stablecoin accessible on the Solana Network. According to the report, Tether (USDt) will be the first stablecoin to launch on the Solana Network, an ultra high-speed Layer 1 blockchain. The Solana…",2020-09-15T05:15:47.000Z,Solana Network Integrates USDt Stablecoin,https://cryptocontrol.io/r/api/article/5f605dc58293c9001a02364c?ref=5f5ffe6559e3200017b06c42,"{'_id': '5c10e3983c4bad0016a0f5fd', 'name': 'Altcoinbuzz', 'url': 'https://altcoinbuzz.io/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5c10e3983c4bad0016a0f5fd.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f605dc58293c9001a02364c-1600150981076.jpg,,https://www.altcoinbuzz.io/wp-content/uploads/2020/09/Solana-Network-Integrates-USDt-Stablecoin-1.jpg
5f5fda17c24f7f001742af8e,74080.88211944589,1.6336472236621213,General,396,"[{'_id': '5f5ced62d7a32d00196911b7', 'title': 'Here’s why 2017 altcoin Aelf (ELF) has surged 100% in the past day', 'publishedAt': '2020-09-12T14:00:48.000Z', 'sourceDomain': 'cryptoslate.com', 'url': 'https://cryptocontrol.io/r/api/article/5f5ced62d7a32d00196911b7?ref=5f5ffe6559e3200017b06c42', 'thumbnail': 'https://cloudfront.cryptocontrol.io/thumbnails/5f5ced62d7a32d00196911b7-1599925605794.jpg'}]","[{'_id': '59d21e9b83a0523906a45dc3', 'name': 'Gas', 'slug': 'gas', 'tradingSymbol': 'GAS'}, {'_id': '5be61f883c4bad00168c1da8', 'name': 'DEX', 'slug': 'dex', 'tradingSymbol': 'DEX'}, {'_id': '5e3844aa16c3760019f74f7b', 'name': 'TOP', 'slug': 'top', 'tradingSymbol': 'TOP'}, {'_id': '5a7b930702ac032bc9978167', 'name': 'aelf', 'slug': 'aelf', 'tradingSymbol': 'ELF'}, {'_id': '5e3844a916c3760019f74d25', 'name': 'Swap', 'slug': 'swap', 'tradingSymbol': 'XWP'}, {'_id': '59cb59f9b0836b0a63aebc7c', 'name': 'Ethereum', 'tradingSymbol': 'ETH', 'slug': 'ethereum'}]","SashimiSwap, a platform self-described as one that “gives liquidity providers on UniSwap an opportunity to earn SASHIMI tokens,” has launched its genesis mining block at [...]
",2020-09-14T19:29:27.000Z,SashimiSwap Releases Plan for Future Growth,https://cryptocontrol.io/r/api/article/5f5fda17c24f7f001742af8e?ref=5f5ffe6559e3200017b06c42,"{'_id': '5ccabcb670d7470010854415', 'name': 'InsideBitcoins', 'url': 'https://insidebitcoins.com/', 'favicon': 'https://assets.cryptocontrol.io/favicons/5ccabcb670d7470010854415.png'}",https://cloudfront.cryptocontrol.io/thumbnails/5f5fda17c24f7f001742af8e-1600117271210.jpeg,insidebitcoins.com,https://cdn.insidebitcoins.com/wp-content/uploads/2020/08/Ethereum3-1.jpeg
